year,race_ethn,medical_rptsrc,n_max,n_min,n_bar,pop,rate_max,rate_min,rate_bar
2012,API,TRUE,942,911,930,222709,4.2297347659950875,4.09053967284663,4.175852794453749
2012,Black,FALSE,63809,63538,63709.7,664149,96.07633226881316,95.66829130210239,95.92681762676749
2012,Black,TRUE,17971,17846,17905.9,664149,27.058687131953825,26.870476353950696,26.960666958769796
2012,Latinx,FALSE,36468,36299,36399.3,884418,41.233896189358425,41.042810073969555,41.156217987422245
2012,Latinx,TRUE,11511,11413,11454.1,884418,13.015338900836483,12.9045315676524,12.951002806365317
2012,White,FALSE,96143,95313,95726.3,2077506,46.2780853581169,45.87856785973182,46.07750832007224
2012,White,TRUE,27723,27585,27656.9,2077506,13.344365792445364,13.277939991509049,13.312548796489638
2013,AIAN,FALSE,4970,4868,4923.1,76639,64.84948916348074,63.51857409412961,64.23752919531832
2013,AIAN,TRUE,1591,1548,1567.2,76639,20.75966544448649,20.198593405446314,20.44911859497123
2013,API,FALSE,2806,2766,2786.2,234737,11.953803618517744,11.78340014569497,11.869453899470471
2013,API,TRUE,1009,972,990.5,234737,4.298427601954527,4.14080438959346,4.219615995773994
2013,Black,FALSE,65390,65155,65292.9,666684,98.08244985630374,97.72995902106544,97.93680364310528
2013,Black,TRUE,18310,18175,18229.1,666684,27.464285928565857,27.261791193428973,27.342939083583826
2013,Latinx,FALSE,36768,36579,36655.6,880241,41.77037879398937,41.555664869052904,41.64268649154038
2013,Latinx,TRUE,11814,11740,11766.6,880241,13.421324387298478,13.337256501344518,13.36747549818743
2013,White,FALSE,99546,98838,99090.4,2072957,48.021256591429534,47.67971549819895,47.8014739331303
2013,White,TRUE,29547,29327,29417.6,2072957,14.253551810288394,14.147423221996405,14.19112890426574
2014,AIAN,FALSE,5038,4979,5011.4,77223,65.23963067997876,64.4756095981767,64.89517371767478
2014,AIAN,TRUE,1785,1762,1771,77223,23.114875101977393,22.8170363751732,22.933581963922666
2014,API,FALSE,2814,2766,2785.4,235011,11.973907604324904,11.769661845615738,11.852211173094027
2014,API,TRUE,1134,1098,1119.3,235011,4.825306049504065,4.672121730472191,4.762755785899383
2014,Black,FALSE,67129,66770,67019.3,673225,99.71257751866018,99.17932340599354,99.54963050985927
2014,Black,TRUE,19666,19546,19604.1,673225,29.211630584128635,29.03338408407293,29.119685097849903
2014,Latinx,FALSE,37689,37463,37598.7,885455,42.56455720505277,42.30932119644702,42.46257573789746
2014,Latinx,TRUE,12644,12527,12574.1,885455,14.27966412748248,14.14752867169986,14.20072166287389
2014,White,FALSE,99325,98448,98827.7,2083873,47.663653207273185,47.24280222451176,47.425011025144045
2014,White,TRUE,33451,33231,33321.1,2083873,16.05232180655923,15.946749154099122,15.989985954038465
2015,AIAN,FALSE,5480,5417,5447.7,76875,71.28455284552845,70.4650406504065,70.86439024390243
2015,AIAN,TRUE,2043,1990,2014.3,76875,26.57560975609756,25.88617886178862,26.202276422764225
2015,API,FALSE,2898,2828,2869.4,245566,11.80130799866431,11.516252249904303,11.684842364170935
2015,API,TRUE,1184,1151,1169.1,245566,4.8215143790264126,4.68713095461098,4.760838226790353
2015,Black,FALSE,69703,69528,69619.1,677363,102.9034653501889,102.64511052419456,102.77960266504076
2015,Black,TRUE,21191,21057,21112.3,677363,31.284554957976738,31.086728976929653,31.16836910194386
2015,Latinx,FALSE,39492,39355,39425.5,900175,43.87146943649846,43.71927680728747,43.79759491210042
2015,Latinx,TRUE,13127,13037,13095.5,900175,14.582720026661482,14.482739467325798,14.547726830893993
2015,White,FALSE,102025,101567,101771.6,2084002,48.95628699012765,48.73651752733443,48.83469401660844
2015,White,TRUE,34608,34492,34546.9,2084002,16.606509974558563,16.550847839877314,16.577191384653183
2016,AIAN,FALSE,5395,5322,5348,76455,70.56438427833366,69.60957425936826,69.94964358119155
2016,AIAN,TRUE,2278,2244,2259,76455,29.79530442744098,29.350598391210518,29.546792230723955
2016,API,FALSE,2846,2780,2815.7,240471,11.835106935971488,11.560645566409256,11.709104216308827
