race_ethn,year,state,n_mn,n_min,n_max,pop,r_mn,r_min,r_max
Latinx,2019,UT,114.6,114,116,8258,13.877452167595058,13.80479534996367,14.046984742068299
Latinx,2019,WV,8.3,8,9,423,19.62174940898345,18.912529550827422,21.27659574468085
White,2019,AK,47.1,45,48,5543,8.497203680317517,8.118347465271514,8.659570629622948
White,2019,AL,465.6,464,468,32316,14.407723728184182,14.358212650080455,14.481990345339769
White,2019,AZ,1034.6,1024,1046,32802,31.54075970977379,31.217608682397415,31.8882994939333
White,2019,CT,93.3,89,98,18187,5.130037939187332,4.893605322483092,5.388464287678011
White,2019,DC,19,13,23,4033,4.711133151500125,3.223406893131664,5.702950657079098
White,2019,HI,24.7,24,26,2508,9.848484848484848,9.569377990430622,10.36682615629984
White,2019,IN,1052.1,1047,1056,58596,17.955150522219945,17.868113864427606,18.021707966414088
White,2019,KS,22.9,22,24,23975,0.9551616266944734,0.9176225234619395,1.0010427528675703
White,2019,KY,1236.9,1225,1254,42659,28.99505379872946,28.716097423755834,29.395907077052907
White,2019,LA,833.2,826,840,30244,27.549265970109772,27.311202221928315,27.774103954503374
White,2019,MA,1267.4,1239,1280,43023,29.458661646096278,28.798549612997697,29.75152825233015
White,2019,MD,32.4,28,37,29595,1.0947795235681703,0.9461057611082954,1.2502111843216759
White,2019,ME,139.1,133,145,11020,12.62250453720508,12.068965517241379,13.157894736842104
White,2019,MI,3300.6,3292,3308,74636,44.222627150436786,44.1074012540865,44.3217750147382
White,2019,MN,605.7,600,613,49845,12.151670177550406,12.03731567860367,12.298124184973418
White,2019,MS,141.6,138,143,17173,8.245501659581901,8.035870261456939,8.327024981074944
White,2019,NJ,400,395,405,45014,8.886124316879194,8.775047762918204,8.997200870840183
White,2019,NM,132.3,127,137,6017,21.987701512381587,21.106863885657305,22.768821671929533
White,2019,NV,493.7,486,504,13751,35.90284342956876,35.34288415387972,36.65187986328267
White,2019,OH,3184,3173,3191,97592,32.62562505123371,32.512910894335604,32.69735224198705
White,2019,OK,220.7,218,223,27918,7.90529407550684,7.808582276667383,7.987678200444158
White,2019,OR,519.5,508,535,29115,17.84303623561738,17.448050832904002,18.3754078653615
White,2019,TX,943.7,935,953,121412,7.772707804829836,7.70105096695549,7.849306493592067
White,2019,UT,315,310,317,35747,8.81192827370129,8.672056396340952,8.867877024645423
White,2019,WV,1075.5,1073,1078,16091,66.83860543160773,66.68323907774533,66.99397178547014
Total,2019,AK,177,170,185,9978,17.73902585688515,17.037482461415113,18.54078973742233
